Código,Nome,Peso (%),Preço,Cotas,Valor de mercado,Valor de face,Setor,SEDOL,Código ISIN,Bolsa,Localização,Moeda,Taxa de câmbio
"EZTC3","EZ TEC EMPREENDIMENTOS E PARTICIPA","0,38","8,28","7.800","64.584","-","Constru��o e Transporte","B1YW5V4","BREZTCACNOR0","XBSP","Brasil","BRL","1,00"
"FESA4","COMPANHIA DE FERRO LIGAS DA BAHIA","0,53","10,35","8.700","90.045","-","Materiais Básicos","B07C6Z5","BRFESAACNPR5","XBSP","Brasil","BRL","1,00"
"ABCB4","BANCO ABC BRASIL S/A","0,65","12,16","9.000","109.440","-","Financeiro e Outros","B23DMP8","BRABCBACNPR4","XBSP","Brasil","BRL","1,00"
"SLCE3","SLC AGRICOLA S/A","0,74","13,40","9.300","124.620","-","Consumo Não Cíclico","B1Y4WK8","BRSLCEACNOR2","XBSP","Brasil","BRL","1,00"
"BTOW3","B2W COMPANHIA DIGITAL","1,66","30,08","9.300","279.744","-","Consumo Cíclico","B1LH3Y1","BRBTOWACNOR8","XBSP","Brasil","BRL","1,00"
"EQTL3","EQUATORIAL ENERGIA SA","0,93","16,25","9.600","156.000","-","Serviços públicos","B128R96","BREQTLACNOR0","XBSP","Brasil","BRL","1,00"
"VLID3","VALID SOLUCOES E SERVICOS DE SEGUR","0,88","14,90","9.900","147.510","-","Bens Industriais","B13NPP2","BRVLIDACNOR5","XBSP","Brasil","BRL","1,00"
"IDNT3","IDEIASNET SA","0,19","2,97","10.500","31.185","-","Tecnologia de informação","2596897","BRIDNTACNOR5","XBSP","Brasil","BRL","1,00"
"MYPK3","IOCHPE MAXION SA","1,07","17,10","10.500","179.550","-","Bens Industriais","B06YX28","BRMYPKACNOR7","XBSP","Brasil","BRL","1,00"
"CSMG3","COMPANHIA DE SANEAMENTO DE MINAS G","1,56","25,00","10.500","262.500","-","Serviços públicos","B0YBZJ2","BRCSMGACNOR5","XBSP","Brasil","BRL","1,00"
"ENBR3","ENERGIAS DO BRASIL SA","2,30","35,80","10.800","386.640","-","Serviços públicos","B0D7494","BRENBRACNOR2","XBSP","Brasil","BRL","1,00"
"EUCA4","EUCATEX S/A","0,40","5,80","11.700","67.860","-","Materiais Básicos","2317797","BREUCAACNPR8","XBSP","Brasil","BRL","1,00"
