Date,Price,Open,High,Low
"Feb 17, 2010",74.0,73.0,75.0,72.0
"Feb 18, 2010",75.0,74.0,77.0,74.0
"Feb 19, 2010",73.0,76.0,76.0,73.0
"Feb 22, 2010",72.0,74.0,74.0,71.0
"Feb 23, 2010",71.0,72.0,74.0,70.0
"Feb 24, 2010",72.0,72.0,73.0,70.0
"Feb 25, 2010",73.0,71.0,74.0,70.0
"Feb 26, 2010",72.0,73.0,74.0,72.0
"Mar 01, 2010",74.0,74.0,74.0,73.0
"Mar 02, 2010",75.0,75.0,78.0,74.0
"Mar 03, 2010",72.0,76.0,76.0,72.0
"Mar 04, 2010",72.0,73.0,74.0,71.0
"Mar 05, 2010",71.0,73.0,73.0,71.0
"Mar 08, 2010",73.0,72.0,73.0,71.0
"Mar 09, 2010",72.0,73.0,73.0,71.0
"Mar 10, 2010",75.0,71.0,85.0,71.0
"Mar 11, 2010",74.0,76.0,81.0,73.0
"Mar 12, 2010",74.0,75.0,78.0,74.0
"Mar 15, 2010",74.0,73.0,77.0,73.0
"Mar 16, 2010",76.0,75.0,77.0,74.0
"Mar 17, 2010",78.0,80.0,85.0,78.0
"Mar 18, 2010",79.0,79.0,81.0,76.0
"Mar 19, 2010",77.0,80.0,84.0,76.0
"Mar 22, 2010",76.0,77.0,78.0,76.0
"Mar 23, 2010",77.0,77.0,77.0,75.0
"Mar 24, 2010",77.0,76.0,79.0,76.0
"Mar 25, 2010",75.0,78.0,78.0,75.0
"Mar 26, 2010",75.0,76.0,77.0,73.0
"Mar 29, 2010",74.0,74.0,76.0,74.0
"Mar 30, 2010",72.0,74.0,75.0,72.0
"Mar 31, 2010",73.0,73.0,74.0,72.0
"Apr 01, 2010",75.0,73.0,77.0,73.0
"Apr 05, 2010",74.0,75.0,76.0,73.0
"Apr 06, 2010",74.0,73.0,74.0,73.0
"Apr 07, 2010",72.0,74.0,74.0,72.0
"Apr 08, 2010",72.0,72.0,72.0,72.0
"Apr 09, 2010",73.0,73.0,75.0,72.0
"Apr 12, 2010",72.0,73.0,73.0,71.0
"Apr 13, 2010",72.0,72.0,72.0,71.0
"Apr 14, 2010",72.0,72.0,73.0,71.0
"Apr 15, 2010",71.0,72.0,72.0,71.0
"Apr 16, 2010",70.0,71.0,72.0,70.0
"Apr 19, 2010",69.0,70.0,70.0,69.0
"Apr 20, 2010",69.0,69.0,71.0,69.0
"Apr 22, 2010",70.0,70.0,71.0,69.0
"Apr 23, 2010",69.0,70.0,70.0,69.0
"Apr 26, 2010",69.0,70.0,71.0,69.0
"Apr 27, 2010",68.0,69.0,70.0,67.0
"Apr 28, 2010",66.0,68.0,68.0,66.0
"Apr 29, 2010",66.0,67.0,68.0,66.0
"Apr 30, 2010",67.0,67.0,69.0,66.0
