Date,Price,Open,High,Low
"Aug 23, 2012",41.5,41.0,41.5,39.5
"Aug 24, 2012",42.0,41.5,45.5,41.0
"Aug 27, 2012",41.5,42.0,43.0,41.0
"Aug 28, 2012",42.0,42.0,42.5,40.5
"Aug 29, 2012",42.5,43.0,44.0,42.0
"Aug 30, 2012",42.5,42.5,43.5,41.5
"Aug 31, 2012",45.0,43.0,45.0,41.5
"Sep 03, 2012",47.0,44.5,48.5,41.5
"Sep 04, 2012",48.5,47.5,50.0,46.5
"Sep 05, 2012",51.0,49.0,53.0,41.5
"Sep 06, 2012",54.5,52.0,54.5,50.5
"Sep 10, 2012",55.0,54.5,57.5,54.0
"Sep 11, 2012",54.5,55.5,56.0,51.5
"Sep 12, 2012",53.0,55.0,56.0,53.0
"Sep 13, 2012",55.0,53.0,55.0,52.0
"Sep 14, 2012",56.5,55.0,57.5,54.5
"Sep 17, 2012",56.0,56.0,57.5,55.5
"Sep 18, 2012",54.0,55.0,56.5,54.0
"Sep 19, 2012",54.5,55.0,55.0,52.5
"Sep 20, 2012",53.5,54.5,55.0,51.0
"Sep 21, 2012",53.5,53.5,54.0,52.0
"Sep 24, 2012",53.5,54.0,54.5,52.0
"Sep 25, 2012",53.0,53.5,53.5,52.5
"Sep 26, 2012",51.5,54.0,53.5,50.5
"Sep 27, 2012",51.5,52.5,52.5,51.0
"Sep 28, 2012",52.0,51.0,52.0,50.5
"Oct 01, 2012",52.0,51.5,52.0,51.0
"Oct 02, 2012",50.5,52.0,52.0,48.0
"Oct 03, 2012",50.0,49.5,50.0,49.0
"Oct 04, 2012",51.5,50.5,53.0,49.5
"Oct 05, 2012",51.0,51.5,52.0,51.0
"Oct 08, 2012",51.0,50.0,51.5,49.5
"Oct 09, 2012",51.0,51.5,51.5,50.0
"Oct 10, 2012",50.5,51.0,51.5,49.5
"Oct 11, 2012",50.5,49.5,50.5,49.5
"Oct 15, 2012",48.5,50.5,50.5,48.0
"Oct 16, 2012",49.0,48.5,49.5,48.0
"Oct 17, 2012",48.0,48.5,48.5,47.5
"Oct 18, 2012",48.5,48.5,49.0,47.5
"Oct 19, 2012",46.5,48.0,48.5,46.5
"Oct 22, 2012",41.5,47.5,47.5,41.0
"Oct 23, 2012",43.0,41.5,44.0,41.5
"Oct 24, 2012",43.5,43.0,44.5,43.0
"Oct 25, 2012",44.5,43.5,45.0,43.0
"Oct 26, 2012",44.0,43.5,44.5,42.5
"Oct 29, 2012",40.0,43.0,43.5,39.0
"Oct 30, 2012",40.0,40.5,42.0,38.5
"Oct 31, 2012",40.0,40.0,40.0,39.0
"Nov 01, 2012",41.0,39.0,41.0,38.5
"Nov 05, 2012",40.5,40.5,41.0,39.0
"Nov 06, 2012",41.0,40.0,41.0,39.5
"Nov 07, 2012",40.5,40.5,40.5,40.0
"Nov 08, 2012",41.0,40.5,41.0,40.0
"Nov 09, 2012",41.0,40.5,41.0,40.5
"Nov 12, 2012",40.5,41.0,41.0,40.0
"Nov 13, 2012",40.0,40.0,40.5,39.0
"Nov 14, 2012",38.0,40.0,40.0,35.5
"Nov 16, 2012",38.5,38.5,39.0,37.5
"Nov 19, 2012",38.5,39.0,39.0,37.0
"Nov 21, 2012",32.5,37.0,37.5,32.0
"Nov 22, 2012",34.0,33.0,34.0,32.0
"Nov 23, 2012",34.0,34.0,35.5,32.0
"Nov 26, 2012",34.0,33.5,34.0,33.0
"Nov 27, 2012",31.5,33.5,34.5,31.0
"Nov 28, 2012",24.5,32.5,33.5,24.5
"Nov 29, 2012",24.0,26.0,26.0,23.5
"Nov 30, 2012",23.5,24.5,26.0,22.5
"Dec 03, 2012",24.5,24.0,26.0,23.5
"Dec 04, 2012",24.0,25.0,25.5,24.0
"Dec 05, 2012",24.5,24.0,24.5,23.5
